"id","action","delta","x","y","z"
"1",0,0,-34,3,-45
"2",0,1,-70,3,-39
"3",0,2,-5,256,-37
"4",1,0,-64.5,-29.5,3
"5",1,1,-56,0,3
"6",1,2,-44.5,3,3
"7",2,0,-60,3,3
"8",2,1,-148,259,3
"9",2,2,-51,0,3
"10",3,0,-41.5,1.5,-34.5
"11",3,1,-86,169,259
"12",3,2,-1,0,-30
"13",4,0,1.5,211.5,3
"14",4,1,728,591.5,-287
"15",4,2,-139,219,-110
"16",5,0,-41.5,58,3
"17",5,1,-23.5,1.5,3
"18",5,2,-106,3,-16
"19",6,0,-123,0,3
"20",6,1,-60,3,-18
"21",6,2,-116,3,3
"22",7,0,-31.5,0,-58
"23",7,1,70,-7,-41
"24",7,2,120,3,-14.5
